,R_fighter,B_fighter,Referee,date,location,Winner,Title Fight,weight_class,B Rounds,B Title Fights,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_Stance,B_Weight_lbs,R Rounds,R Title Fights,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_Stance,R_Weight_lbs,B_age,R_age,R_Age Range,B_Age Range
4266,Marcio Cruz,Frank Mir,Herb Dean,2/4/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,8,1,2,0,4,6,1,0,0,1,4,Southpaw,264,2,0,1,0,1,1,0,0,0,0,1,Orthodox,232,26.0,27.0,Young Prospect,Young Prospect
4267,Renato Sobral,Mike van Arsdale,John McCarthy,2/4/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,7,0,2,0,2,2,1,0,1,0,1,Switch,205,14,0,1,0,2,4,2,0,1,0,2,Orthodox,205,40.0,30.0,Experienced,Veteran
4268,Josh Neer,Melvin Guillard,Herb Dean,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,2,0,1,0,1,1,0,0,0,0,0,Orthodox,155,1,0,0,1,0,0,1,0,0,0,0,Orthodox,170,22.0,22.0,Young Prospect,Young Prospect
4269,Duane Ludwig,Jonathan Goulet,Mario Yamasaki,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,3,0,1,0,1,1,0,0,0,0,0,Orthodox,170,3,0,1,0,1,1,0,0,1,0,0,Orthodox,170,26.0,27.0,Young Prospect,Young Prospect
4270,Spencer Fisher,Aaron Riley,John McCarthy,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,3,0,0,1,0,0,1,0,0,0,0,Southpaw,155,2,0,1,0,1,1,0,0,0,0,1,Southpaw,155,25.0,29.0,Experienced,Young Prospect
4271,Jason Von Flue,Alex Karalexis,Steve Mazzagatti,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,3,0,1,0,1,1,1,0,0,1,0,Orthodox,155,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170,28.0,30.0,Experienced,Experienced
4272,Joshua Burkman,Drew Fickett,Mario Yamasaki,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,5,0,0,1,2,2,1,0,0,0,2,Orthodox,155,1,0,1,0,1,1,0,0,0,1,0,Orthodox,170,26.0,25.0,Young Prospect,Young Prospect
4273,Chris Leben,Jorge Rivera,John McCarthy,1/16/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,10,0,1,0,1,2,2,0,2,0,0,Orthodox,185,5,0,3,0,3,3,0,0,0,1,1,Southpaw,185,33.0,25.0,Young Prospect,Experienced
4274,Stephan Bonnar,James Irvin,Herb Dean,1/16/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,3,0,0,1,1,1,1,0,0,1,0,Orthodox,205,6,1,0,1,1,1,1,0,1,0,0,Orthodox,205,27.0,28.0,Experienced,Young Prospect
4275,Rich Franklin,Nate Quarry,John McCarthy,11/19/2005,"Las Vegas, Nevada, USA",Red,True,Middleweight,3,0,3,0,3,3,0,0,0,3,0,Open Stance,185,10,1,5,0,5,5,0,0,0,3,1,Southpaw,185,33.0,31.0,Experienced,Experienced
4276,Georges St-Pierre,Sean Sherk,Herb Dean,11/19/2005,"Las Vegas, Nevada, USA",Red,False,Welterweight,11,1,3,0,3,3,1,0,1,0,1,Orthodox,155,9,1,2,0,2,4,1,0,2,1,1,Orthodox,185,32.0,24.0,Young Prospect,Experienced
